id,name,host_since,host_location,host_is_superhost,host_identity_verified,property_type,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
653596,Rental unit in Amsterdam,2012-08-17,"Amsterdam, Netherlands",f,t,Entire rental unit,300.0,4.57,4.59,4.41,4.67,4.63,4.85,4.41
654931,Bed and breakfast in Amsterdam,2012-08-16,"Amsterdam, Netherlands",t,t,Room in bed and breakfast,149.0,4.87,4.85,4.9,4.94,4.95,4.93,4.79
655216,Bed and breakfast in Amsterdam,2012-08-16,"Amsterdam, Netherlands",t,t,Room in bed and breakfast,150.0,4.89,4.86,4.93,4.95,4.97,4.96,4.79
658063,Bed and breakfast in Amsterdam,2012-08-20,"Amsterdam, Netherlands",f,t,Private room in bed and breakfast,160.0,4.36,4.28,4.22,4.66,4.65,4.75,4.23
660856,Townhouse in Amsterdam,2012-08-22,"Amsterdam, Netherlands",f,t,Entire townhouse,395.0,4.83,4.73,4.28,4.9,4.93,4.83,4.8
664697,Loft in Amsterdam,2011-11-14,"Amsterdam, Netherlands",f,t,Entire loft,87.0,4.33,4.08,4.23,4.57,4.6,4.61,4.25
667305,Rental unit in Amsterdam,2012-08-26,"Amsterdam, Netherlands",f,t,Entire rental unit,146.0,4.97,4.88,4.91,4.97,5.0,4.88,4.82
679838,Condo in Amsterdam,2014-10-17,"Amsterdam, Netherlands",,t,Entire condo,700.0,4.95,4.96,4.89,4.98,5.0,4.96,4.75
683431,Rental unit in Amsterdam,2012-05-07,"Amsterdam, Netherlands",t,t,Private room in rental unit,96.0,4.68,4.78,4.59,4.91,4.93,4.72,4.53
685990,Home in Amsterdam,2012-09-07,"Amsterdam, Netherlands",t,t,Private room in home,85.0,4.81,4.87,4.88,4.93,4.93,4.5,4.63
689623,Rental unit in Amsterdam,2012-05-02,"Amsterdam, Netherlands",f,t,Entire rental unit,120.0,4.74,4.79,4.54,4.87,4.86,4.63,4.56
690757,Loft in Amsterdam,2012-09-10,"Amsterdam, Netherlands",f,t,Private room in loft,189.0,4.5,4.55,4.42,4.75,4.68,4.9,4.4
693675,Rental unit in Amsterdam,2012-09-12,"Amsterdam, Netherlands",f,t,Entire rental unit,95.0,4.73,4.55,5.0,4.82,4.9,4.55,4.64
696113,Rental unit in Amsterdam,2012-09-14,"Amsterdam, Netherlands",f,t,Entire rental unit,211.0,4.79,4.92,4.83,4.96,4.74,4.63,4.79
698672,Rental unit in Amsterdam,2012-05-06,"Amsterdam, Netherlands",f,t,Entire rental unit,149.0,4.8,4.83,4.79,4.88,4.9,4.72,4.71
702894,Rental unit in Amsterdam,2012-09-18,"Amsterdam, Netherlands",f,t,Entire rental unit,240.0,4.87,4.89,4.79,4.95,4.95,4.63,4.79
708528,Rental unit in Amsterdam,2012-09-22,"Amsterdam, Netherlands",t,t,Private room in rental unit,177.0,4.88,4.94,4.88,4.96,4.95,4.93,4.68
713577,Rental unit in Amsterdam,2012-04-24,"Amsterdam, Netherlands",t,t,Private room in rental unit,125.0,4.63,4.62,4.6,4.79,4.8,4.74,4.57
716107,Rental unit in Amsterdam,2012-09-27,"Amsterdam, Netherlands",f,t,Entire rental unit,120.0,4.7,4.81,4.63,4.76,4.83,4.65,4.6
719623,Rental unit in Amsterdam,2012-09-30,"Amsterdam, Netherlands",t,t,Entire rental unit,156.0,4.64,4.59,4.43,4.87,4.85,4.88,4.6
721291,Condo in Amsterdam,2012-10-01,"Amsterdam, Netherlands",t,t,Private room in condo,79.0,4.74,4.59,4.46,4.94,4.87,4.73,4.58
728144,Loft in Amsterdam,2012-10-06,"Amsterdam, Netherlands",t,t,Entire loft,432.0,4.89,4.91,4.69,4.95,4.97,4.94,4.76
729260,Rental unit in Amsterdam,2012-10-07,"Amsterdam, Netherlands",f,t,Entire rental unit,200.0,4.7,4.76,4.18,4.92,4.88,4.9,4.55
729317,Bed and breakfast in Amsterdam,2012-10-07,"Amsterdam, Netherlands",f,t,Private room in bed and breakfast,153.0,4.66,4.75,4.59,4.85,4.75,4.83,4.52
730916,Rental unit in Amsterdam,2012-08-15,"Amsterdam, Netherlands",f,t,Private room in rental unit,95.0,4.74,4.84,4.78,4.89,4.86,4.73,4.65
733654,Rental unit in Amsterdam,2012-10-10,"Amsterdam, Netherlands",f,t,Entire rental unit,178.0,5.0,4.93,4.86,4.86,5.0,4.86,4.86
740616,Rental unit in Amsterdam,2012-10-12,"Amsterdam, Netherlands",f,t,Private room in rental unit,99.0,4.8,4.82,4.87,4.89,4.95,4.74,4.54
741043,Boat in Amsterdam,2012-10-15,"Amsterdam, Netherlands",t,t,Boat,550.0,4.88,4.88,4.75,4.89,4.93,4.82,4.58
744659,Guest suite in Amsterdam,2012-09-09,"Amsterdam, Netherlands",t,t,Private room in guest suite,121.0,4.94,4.93,4.99,4.94,4.94,4.87,4.82
753171,Condo in Amsterdam,2012-10-23,"Amsterdam, Netherlands",f,t,Entire condo,229.0,4.67,4.67,5.0,5.0,5.0,4.33,4.67
754020,Rental unit in Amsterdam,2012-10-24,"Amsterdam, Netherlands",f,t,Entire rental unit,250.0,4.87,4.99,4.92,4.92,4.91,4.73,4.68
754613,Rental unit in Amsterdam,2012-10-25,"Amsterdam, Netherlands",t,t,Entire rental unit,300.0,4.94,4.95,4.96,4.98,4.96,4.97,4.78
755431,Rental unit in Amsterdam,2012-10-25,"Amsterdam, Netherlands",t,t,Private room in rental unit,180.0,4.93,4.95,4.94,4.94,4.96,4.91,4.86
758475,Rental unit in Amsterdam,2011-11-09,"Amsterdam, Netherlands",f,t,Entire rental unit,100.0,4.74,4.64,4.51,4.85,4.87,4.74,4.54
759060,Rental unit in Amsterdam,2012-10-28,"Amsterdam, Netherlands",f,t,Entire rental unit,325.0,4.94,4.95,4.92,4.96,4.98,5.0,4.58
759299,Condo in Amsterdam,2012-09-12,"Amsterdam, Netherlands",f,t,Entire condo,200.0,4.83,5.0,4.83,5.0,4.92,5.0,4.58
778820,Rental unit in Amsterdam,2012-11-09,"Amsterdam, Netherlands",f,t,Entire rental unit,110.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0
780674,Rental unit in Amsterdam,2012-11-11,"Amsterdam, Netherlands",f,t,Entire rental unit,249.0,4.88,4.88,4.82,4.88,4.88,4.91,4.65
782254,Rental unit in Amsterdam,2012-11-12,"Amsterdam, Netherlands",f,t,Entire rental unit,399.0,4.67,4.82,4.64,4.75,4.76,4.93,4.47
785432,Rental unit in Amsterdam,2012-06-09,"Amsterdam, Netherlands",t,t,Entire rental unit,250.0,4.77,4.7,4.64,4.87,4.86,4.95,4.61
794322,Boat in Amsterdam,2012-11-18,"Amsterdam, Netherlands",f,t,Private room in boat,250.0,4.77,4.83,4.64,4.86,4.72,4.93,4.61
800723,Rental unit in Amsterdam,2012-11-22,"Amsterdam, Netherlands",f,t,Entire rental unit,150.0,4.83,4.83,4.67,4.94,5.0,4.67,4.5
801544,Rental unit in Amsterdam,2012-01-26,"Amsterdam, Netherlands",t,t,Entire rental unit,175.0,4.55,4.64,4.39,4.69,4.71,4.77,4.39
802052,Boat in Amsterdam,2012-11-23,"Amsterdam, Netherlands",t,t,Private room in boat,142.0,4.93,4.92,4.96,4.97,4.97,4.92,4.81
805330,Rental unit in Amsterdam,2012-11-25,"Amsterdam, Netherlands",f,t,Entire rental unit,249.0,4.94,5.0,4.94,5.0,5.0,4.76,4.76
816940,Rental unit in Amsterdam,2012-11-30,"Amsterdam, Netherlands",t,t,Entire rental unit,149.0,4.76,4.77,4.62,4.85,4.94,4.77,4.68
818881,Rental unit in Amsterdam,2012-12-01,"Amsterdam, Netherlands",f,t,Entire rental unit,129.0,4.75,4.95,4.85,4.9,4.95,5.0,4.7
834233,Rental unit in Amsterdam,2012-12-09,"Amsterdam, Netherlands",t,t,Entire rental unit,135.0,4.9,4.94,4.93,4.99,4.94,4.96,4.83
835627,Rental unit in Amsterdam,2012-07-25,"Amsterdam, Netherlands",f,t,Entire rental unit,400.0,4.95,4.8,4.45,4.95,4.95,4.9,4.95
847093,Condo in Amsterdam,2013-01-11,"Amsterdam, Netherlands",f,t,Entire condo,150.0,4.74,4.89,4.76,4.83,4.83,4.85,4.65
851044,Rental unit in Amsterdam,2012-12-19,"Amsterdam, Netherlands",t,t,Entire rental unit,169.0,4.75,4.72,4.87,4.86,4.8,4.52,4.57
853645,Loft in Amsterdam,2012-12-13,"Amsterdam, Netherlands",f,t,Entire loft,800.0,4.81,4.86,4.65,4.78,4.87,4.78,4.69
854328,Rental unit in Amsterdam,2011-10-28,"Amsterdam, Netherlands",f,t,Entire rental unit,358.0,4.82,4.81,4.8,4.89,4.88,4.83,4.65
